ASSERTION	AAEDAAECAwAAAAAAAIizQA==
RUN	mysimulations.Gatling30	gatling30	1670494244801	Gatling Execution	3.6.1
REQUEST	PurchaseTickets_tx	bootstrap-table.js	1670494325258	1670494325593	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.css	1670494325289	1670494325596	OK	 
GROUP	PurchaseTickets_tx	1670494324446	1670494325604	1034	OK
GROUP	PurchaseTickets_tx	1670494324439	1670494325604	1069	OK
REQUEST	PurchaseTickets_tx	bootstrap-table.js	1670494325312	1670494325596	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.js	1670494325249	1670494325596	OK	 
GROUP	PurchaseTickets_tx	1670494324439	1670494325610	1046	OK
REQUEST	PurchaseTickets_tx	bootstrap.min.js	1670494325334	1670494325603	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.js	1670494325335	1670494325613	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.js	1670494325311	1670494325611	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.css	1670494325336	1670494325619	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.css	1670494325313	1670494325620	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.css	1670494325337	1670494325620	OK	 
GROUP	PurchaseTickets_tx	1670494324439	1670494325625	1034	OK
GROUP	PurchaseTickets_tx	1670494324444	1670494325625	1033	OK
REQUEST	PurchaseTickets_tx	bootstrap.min.css	1670494325260	1670494325701	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.css	1670494325262	1670494325925	OK	 
GROUP	PurchaseTickets_tx	1670494324439	1670494325926	1389	OK
REQUEST	Homepage_tx	Homepage_request	1670494325611	1670494326025	OK	 
REQUEST	Homepage_tx	Homepage_request	1670494325626	1670494326046	OK	 
REQUEST	Homepage_tx	Homepage_request	1670494325542	1670494326118	OK	 
REQUEST	Homepage_tx	Homepage_request	1670494325626	1670494326160	OK	 
REQUEST	Homepage_tx	Homepage_request	1670494325567	1670494326259	OK	 
REQUEST	Homepage_tx	Homepage_request	1670494325582	1670494326279	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494326037	1670494326283	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494326033	1670494326310	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494326035	1670494326311	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494326036	1670494326313	OK	 
GROUP	Homepage_tx	1670494325611	1670494326314	696	OK
REQUEST	Homepage_tx	bootstrap-table.js	1670494326054	1670494326326	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494326056	1670494326327	OK	 
REQUEST	Homepage_tx	Homepage_request	1670494325581	1670494326326	OK	 
REQUEST	Homepage_tx	Homepage_request	1670494325611	1670494326327	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494326053	1670494326329	OK	 
REQUEST	Homepage_tx	Homepage_request	1670494325611	1670494326327	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494326055	1670494326353	OK	 
GROUP	Homepage_tx	1670494325625	1670494326354	722	OK
REQUEST	Homepage_tx	bootstrap-table.css	1670494326125	1670494326380	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494326123	1670494326386	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494326122	1670494326403	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494326124	1670494326405	OK	 
GROUP	Homepage_tx	1670494325541	1670494326406	860	OK
REQUEST	Homepage_tx	Homepage_request	1670494325927	1670494326409	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494326165	1670494326421	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494326164	1670494326429	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494326163	1670494326430	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494326164	1670494326498	OK	 
GROUP	Homepage_tx	1670494325625	1670494326499	871	OK
REQUEST	Homepage_tx	bootstrap-table.css	1670494326265	1670494326514	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494326263	1670494326518	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494326283	1670494326531	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494326265	1670494326538	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494326264	1670494326539	OK	 
GROUP	Homepage_tx	1670494325566	1670494326540	969	OK
REQUEST	Homepage_tx	bootstrap-table.css	1670494326284	1670494326549	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494326283	1670494326559	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494326282	1670494326560	OK	 
GROUP	Homepage_tx	1670494325580	1670494326561	977	OK
REQUEST	Homepage_tx	bootstrap.min.js	1670494326333	1670494326582	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494326335	1670494326591	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494326334	1670494326592	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494326333	1670494326597	OK	 
GROUP	Homepage_tx	1670494325580	1670494326598	1011	OK
REQUEST	Homepage_tx	bootstrap-table.js	1670494326344	1670494326602	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494326345	1670494326606	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494326359	1670494326610	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494326343	1670494326613	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494326356	1670494326613	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494326355	1670494326614	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494326358	1670494326615	OK	 
GROUP	Homepage_tx	1670494325611	1670494326616	977	OK
REQUEST	Homepage_tx	bootstrap.min.css	1670494326344	1670494326659	OK	 
